sid,score,study
202061001,59.33967743,12.16
202261002,22.650547,17.8
202061003,36.27562168,20.92
202261004,52.09536487,11.3
202061005,37.02560461,15.34
201661006,73.28120252,24.94
202261007,22.12735665,17.38
202061008,34.15045439,9.88
202261009,23.66216288,4.84
202061010,91.26000935,21.4
202061011,1.945845128,3.18
202161012,30.93987521,17.08
202261013,24.13665061,5.08
202061014,66.65161766,19.42
202261015,38.43534234,19.38
202061016,63.64452498,13.72
202061017,43.36237894,19.72
202261018,44.35321899,12.32
202261019,67.89057696,15.44
202261020,42.48540988,22.32
202261021,59.32812491,16.78
201861022,40.85148741,10.32
202261023,1.056183983,10.34
202061024,28.77609279,8.3
202261025,65.7842475,15.86
201861026,8.181276454,8.52
202261027,41.03249465,10.24
202261028,38.15312703,14.3
202261029,47.01159349,15.94
202061030,35.5439792,12.8
202261031,41.9967572,11.88
202261032,25.86242805,10.54
201761033,43.92522427,21.94
201961034,31.95691411,14.7
201861035,16.78454497,13.3
201861036,8.696730255,10.98
201761037,48.59730942,15.04
201761038,49.55652778,18.36
201961039,6.751691838,6.42
201961040,62.23849864,13.58
201761041,44.75801096,22.16
201861042,63.85083544,26.22
201861043,26.92823942,10.88
201861044,31.18631632,14.1
201761045,52.40781982,14.76
201861046,27.47987486,18.02
201961047,41.70251823,21.06
202161048,35.96238516,9.68
202161049,64.34448616,21.24
