PLAYER,POSITION,TEAM,SALARY
Tony Snell,SF,Chicago Bulls,1.53588
Lamar Patterson,SG,Atlanta Hawks,0.525093
J.J. Barea,PG,Dallas Mavericks,4.29
Kenneth Faried,PF,Denver Nuggets,11.235955
Lou Amundson,PF,New York Knicks,1.635476
C.J. Miles,SF,Indiana Pacers,4.394225
Alan Anderson,SG,Washington Wizards,4
Danny Granger,SF,Detroit Pistons,2.170465
Robert Covington,SF,Philadelphia 76ers,1
Jarrid Famous,PF,Memphis Grizzlies,0.525093
Marc Gasol,C,Memphis Grizzlies,19.688
Raymond Felton,PG,Dallas Mavericks,3.950313
Alec Burks,SG,Utah Jazz,9.463484
Pat Connaughton,SG,Portland Trail Blazers,0.625093
Jeremy Lamb,SG,Charlotte Hornets,3.034356
Tristan Thompson,C,Cleveland Cavaliers,14.26087
Archie Goodwin,SG,Phoenix Suns,1.16016
Andre Drummond,C,Detroit Pistons,3.272091
Dante Exum,PG,Utah Jazz,3.77772
Furkan Aldemir,PF,Philadelphia 76ers,2.836768
Adreian Payne,PF,Minnesota Timberwolves,1.93884
Maurice Harkless,SF,Portland Trail Blazers,2.894059
Timofey Mozgov,C,Cleveland Cavaliers,4.95
Eric Gordon,SG,New Orleans Pelicans,15.514031
Josh Richardson,SG,Miami Heat,0.525093
K.J. McDaniels,SG,Houston Rockets,3.189794
Tobias Harris,SF,Orlando Magic,16
Kris Humphries,PF,Washington Wizards,4.44
Trevor Booker,PF,Utah Jazz,4.775
Danilo Gallinari,SF,Denver Nuggets,14
Jrue Holiday,PG,New Orleans Pelicans,10.595507
Dwight Howard,C,Houston Rockets,22.359364
Allen Crabbe,SG,Portland Trail Blazers,0.947276
Zach Randolph,PF,Memphis Grizzlies,9.638555
Channing Frye,PF,Orlando Magic,8.193029
Harrison Barnes,SF,Golden State Warriors,3.873398
Tony Wroten,SG,Philadelphia 76ers,2.179353
Greg Whittington,SF,Miami Heat,0.525093
Kyle Anderson,SF,San Antonio Spurs,1.14288
Earl Clark,SF,Brooklyn Nets,1.185784
Chris McCullough,PF,Brooklyn Nets,1.14024
Nerlens Noel,PF,Philadelphia 76ers,3.4578
Cody Zeller,C,Charlotte Hornets,4.2042
Ersan Ilyasova,PF,Orlando Magic,7.9
Mike Dunleavy,SG,Chicago Bulls,4.5
Al Jefferson,C,Charlotte Hornets,13.5
Cole Aldrich,C,Los Angeles Clippers,1.100602
Orlando Johnson,SG,Phoenix Suns,0.055722
Jusuf Nurkic,C,Denver Nuggets,1.842
